C,Z,mean,var,min,max,min_per,max_per
01,01,412.0724912608789,515.9121285498984,0,24835,15.0,5598.0
02,01,699.6304481244428,573.7387612312069,0,3467,0.0,2705.0
03,01,662.7448639561879,254.243195157329,45,65535,152.0,3495.0
04,01,2597.279273643343,767.4434351608645,205,13522,468.0,9470.0
04,02,2593.290713902213,929.6449400556738,185,14515,408.0,10110.0
04,03,2591.813758085338,1088.8363775305827,123,18461,360.0,10504.0
04,04,2591.4896844379296,1152.6124020007876,109,19788,339.0,10757.0
04,05,2592.9148276332126,1088.5098073209829,134,19280,355.0,10340.0
04,06,2595.6221420398924,940.8468756606364,144,17543,394.0,9547.0
04,07,2598.7882139814365,783.7950603791431,183,15875,461.0,8473.0
