C,Z,mean,var,min,max,min_per,max_per
01,01,357.7672029992908,474.79950056749846,0,17794,4.0,5651.0
02,01,634.0545229745627,513.3528132863254,0,2633,0.0,2193.0
03,01,383.6157475862798,146.89834257630068,30,32504,93.0,1884.0
04,01,713.8855125221704,333.0362999711769,1,5900,97.0,3230.0
04,02,713.1714263700438,324.09763449388237,4,5547,103.0,3129.0
04,03,713.1191886874321,309.7069147377339,7,5151,111.0,3010.0
04,04,713.1797790542406,288.26704960965174,1,4703,123.0,2852.0
04,05,713.2810027808672,262.85538586501167,13,4362,138.0,2678.0
04,06,713.3768887137988,234.7166249395839,4,4888,155.0,2512.0
04,07,713.5079959572324,210.47872284166166,23,4794,173.0,2351.0
